Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
4.06,0.0675,0.0019,,,,,,,,,,,,,,,
4.08,0.0679,0.0028,,,,,,,,,,,,,,,
4.1,0.0683,0.0017,,,,,,,,,,,,,,,
4.12,0.0687,0.0027,,,,,,,,,,,,,,,
4.14,0.069,0.0033,,,,,,,,,,,,,,,
4.16,0.0694,0.0028,,,,,,,,,,,,,,,
4.18,0.0698,0.0029,,,,,,,,,,,,,,,
4.2,0.07,0.0025,,,,,,,,,,,,,,,
4.22,0.0704,0.0017,,,,,,,,,,,,,,,
4.24,0.0706,0.0028,,,,,,,,,,,,,,,
4.26,0.071,0.0029,,,,,,,,,,,,,,,
4.28,0.0715,0.0021,,,,,,,,,,,,,,,
4.3,0.0719,0.0036,,,,,,,,,,,,,,,
4.32,0.0721,0.0023,,,,,,,,,,,,,,,
4.34,0.0723,0.0024,,,,,,,,,,,,,,,
4.36,0.0727,0.0043,,,,,,,,,,,,,,,
4.38,0.0731,0.0025,,,,,,,,,,,,,,,
4.4,0.0733,0.0029,,,,,,,,,,,,,,,
4.42,0.0735,0.003,,,,,,,,,,,,,,,
4.44,0.074,0.0017,,,,,,,,,,,,,,,
4.46,0.0744,0.0024,,,,,,,,,,,,,,,
4.48,0.0746,0.0018,,,,,,,,,,,,,,,
4.5,0.075,0.0033,,,,,,,,,,,,,,,
4.52,0.0752,0.0034,,,,,,,,,,,,,,,
4.54,0.0756,0.0021,,,,,,,,,,,,,,,
4.56,0.0758,0.003,,,,,,,,,,,,,,,
4.58,0.0762,0.0028,,,,,,,,,,,,,,,
4.6,0.0765,0.0021,,,,,,,,,,,,,,,
4.62,0.0769,0.0028,,,,,,,,,,,,,,,
4.64,0.0771,0.0025,,,,,,,,,,,,,,,
4.66,0.0775,0.0034,,,,,,,,,,,,,,,
4.68,0.0779,0.0046,,,,,,,,,,,,,,,
4.7,0.0781,0.0016,,,,,,,,,,,,,,,
4.72,0.0785,0.0029,,,,,,,,,,,,,,,
4.74,0.079,0.0036,,,,,,,,,,,,,,,
4.76,0.0792,0.0014,,,,,,,,,,,,,,,
4.78,0.0796,0.0038,,,,,,,,,,,,,,,
4.8,0.08,0.0019,,,,,,,,,,,,,,,
4.82,0.0802,0.0024,,,,,,,,,,,,,,,
4.84,0.0806,0.0021,,,,,,,,,,,,,,,
4.86,0.0808,0.002,,,,,,,,,,,,,,,
4.88,0.0812,0.0023,,,,,,,,,,,,,,,
4.9,0.0817,0.003,,,,,,,,,,,,,,,
4.92,0.0819,0.0036,,,,,,,,,,,,,,,
4.94,0.0821,0.0033,,,,,,,,,,,,,,,
4.96,0.0825,0.0033,,,,,,,,,,,,,,,
4.98,0.0827,0.0027,,,,,,,,,,,,,,,
5,0.0831,0.003,,,,,,,,,,,,,,,
5.02,0.0833,0.0018,,,,,,,,,,,,,,,
5.04,0.0837,0.0012,,,,,,,,,,,,,,,
5.06,0.0842,0.0027,,,,,,,,,,,,,,,
5.08,0.0844,0.0026,,,,,,,,,,,,,,,
5.1,0.0848,0.0026,,,,,,,,,,,,,,,
5.12,0.085,0.0029,,,,,,,,,,,,,,,
5.14,0.0854,0.0025,,,,,,,,,,,,,,,
5.16,0.0858,0.0038,,,,,,,,,,,,,,,
5.18,0.086,0.0021,,,,,,,,,,,,,,,
5.2,0.0865,0.0026,,,,,,,,,,,,,,,
5.22,0.0867,0.0033,,,,,,,,,,,,,,,
5.24,0.0871,0.0023,,,,,,,,,,,,,,,
5.26,0.0875,0.0036,,,,,,,,,,,,,,,
5.28,0.0877,0.0036,,,,,,,,,,,,,,,
5.3,0.0881,0.0031,,,,,,,,,,,,,,,
5.32,0.0883,0.0033,,,,,,,,,,,,,,,
5.34,0.0887,0.0029,,,,,,,,,,,,,,,
5.36,0.0892,0.0035,,,,,,,,,,,,,,,
5.38,0.0894,0.0031,,,,,,,,,,,,,,,
5.4,0.0898,0.0023,,,,,,,,,,,,,,,
5.42,0.0902,0.0026,,,,,,,,,,,,,,,
5.44,0.0904,0.0038,,,,,,,,,,,,,,,
5.46,0.0908,0.0027,,,,,,,,,,,,,,,
5.48,0.091,0.0032,,,,,,,,,,,,,,,
5.5,0.0915,0.0033,,,,,,,,,,,,,,,
5.52,0.0917,0.0025,,,,,,,,,,,,,,,
5.54,0.0921,0.0038,,,,,,,,,,,,,,,
5.56,0.0925,0.0031,,,,,,,,,,,,,,,
5.58,0.0927,0.003,,,,,,,,,,,,,,,
5.6,0.0931,0.0033,,,,,,,,,,,,,,,
5.62,0.0933,0.0029,,,,,,,,,,,,,,,
5.64,0.0935,0.0026,,,,,,,,,,,,,,,
5.66,0.094,0.0024,,,,,,,,,,,,,,,
5.68,0.0944,0.0022,,,,,,,,,,,,,,,
5.7,0.0946,0.0037,,,,,,,,,,,,,,,
5.72,0.095,0.0034,,,,,,,,,,,,,,,
5.74,0.0954,0.0032,,,,,,,,,,,,,,,
5.76,0.0958,0.0031,,,,,,,,,,,,,,,
5.78,0.096,0.0028,,,,,,,,,,,,,,,
5.8,0.0965,0.0031,,,,,,,,,,,,,,,
5.82,0.0969,0.0036,,,,,,,,,,,,,,,
5.84,0.0971,0.0025,,,,,,,,,,,,,,,
5.86,0.0975,0.0035,,,,,,,,,,,,,,,
5.88,0.0979,0.0034,,,,,,,,,,,,,,,
5.9,0.0981,0.0032,,,,,,,,,,,,,,,
5.92,0.0985,0.0044,,,,,,,,,,,,,,,
5.94,0.099,0.0014,,,,,,,,,,,,,,,
5.96,0.0992,0.0032,,,,,,,,,,,,,,,
5.98,0.0996,0.0029,,,,,,,,,,,,,,,
6,0.1,0.0014,,,,,,,,,,,,,,,
6.02,0.1002,0.0029,,,,,,,,,,,,,,,
6.04,0.1006,0.0023,,,,,,,,,,,,,,,
6.06,0.1008,0.0035,,,,,,,,,,,,,,,
6.08,0.1012,0.0042,,,,,,,,,,,,,,,
6.1,0.1015,0.0031,,,,,,,,,,,,,,,
6.12,0.1019,0.003,,,,,,,,,,,,,,,
6.14,0.1023,0.0041,,,,,,,,,,,,,,,
