Time,Displacement,Force,,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,,
6.84,0.114,0.0007,,,,,,,,,,,,,,,,,,,
6.86,0.1142,0.0008,,,,,,,,,,,,,,,,,,,
6.88,0.1146,0.0005,,,,,,,,,,,,,,,,,,,
6.9,0.1148,0.001,,,,,,,,,,,,,,,,,,,
6.92,0.1152,0.0009,,,,,,,,,,,,,,,,,,,
6.94,0.1154,0.0017,,,,,,,,,,,,,,,,,,,
6.96,0.1158,0.0013,,,,,,,,,,,,,,,,,,,
6.98,0.116,0.0027,,,,,,,,,,,,,,,,,,,
7,0.1165,0.0015,,,,,,,,,,,,,,,,,,,
7.02,0.1169,0.0004,,,,,,,,,,,,,,,,,,,
7.04,0.1173,0.001,,,,,,,,,,,,,,,,,,,
7.06,0.1175,0.0012,,,,,,,,,,,,,,,,,,,
7.08,0.1179,0.0009,,,,,,,,,,,,,,,,,,,
7.1,0.1181,0.0006,,,,,,,,,,,,,,,,,,,
7.12,0.1185,0.0012,,,,,,,,,,,,,,,,,,,
7.14,0.1187,0.0012,,,,,,,,,,,,,,,,,,,
7.16,0.1192,0.0009,,,,,,,,,,,,,,,,,,,
7.18,0.1194,0.0016,,,,,,,,,,,,,,,,,,,
7.2,0.1198,0.0013,,,,,,,,,,,,,,,,,,,
7.22,0.12,0.0009,,,,,,,,,,,,,,,,,,,
7.24,0.1204,0.0006,,,,,,,,,,,,,,,,,,,
7.26,0.1208,0.0019,,,,,,,,,,,,,,,,,,,
7.28,0.121,0.0008,,,,,,,,,,,,,,,,,,,
7.3,0.1215,0.0019,,,,,,,,,,,,,,,,,,,
7.32,0.1219,0.0008,,,,,,,,,,,,,,,,,,,
7.34,0.1221,0.0006,,,,,,,,,,,,,,,,,,,
7.36,0.1225,0.0021,,,,,,,,,,,,,,,,,,,
7.38,0.1227,-0.0003,,,,,,,,,,,,,,,,,,,
7.4,0.1231,0.0012,,,,,,,,,,,,,,,,,,,
7.42,0.1233,0.0024,,,,,,,,,,,,,,,,,,,
7.44,0.1237,0.002,,,,,,,,,,,,,,,,,,,
7.46,0.1242,0.0017,,,,,,,,,,,,,,,,,,,
7.48,0.1246,0.0013,,,,,,,,,,,,,,,,,,,
7.5,0.1248,0.001,,,,,,,,,,,,,,,,,,,
7.52,0.1252,0.0006,,,,,,,,,,,,,,,,,,,
7.54,0.1256,-0.0001,,,,,,,,,,,,,,,,,,,
7.56,0.1258,0.001,,,,,,,,,,,,,,,,,,,
7.58,0.1262,0.0022,,,,,,,,,,,,,,,,,,,
7.6,0.1267,0.0007,,,,,,,,,,,,,,,,,,,
7.62,0.1269,0.0005,,,,,,,,,,,,,,,,,,,
